frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x
0,1,75.0,103.0,1,3,1,2026-01-24 01:41:46+00:00,2026-01-24 01:41:46,-45903.614457831325,-36907.63052208835
0,2,143.0,48.372668906231944,3,3,2,2026-01-24 01:41:46+00:00,2026-01-24 01:41:46,-24056.22489959839,-54458.58027109014
1,2,101.62728893128144,129.59818344276394,6,3,4,2026-01-24 01:50:32+00:00,2026-01-24 01:50:32,-37348.66219075295,-28362.029415979454
1,3,222.36880783796494,36.0,2,3,5,2026-01-24 01:50:32+00:00,2026-01-24 01:50:32,1443.7936828803,-58433.73493975904
3,1,36.0,106.6153816326283,2,3,6,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-58433.73493975904,-35746.062126063196
3,2,75.6154124196132,104.16338095737059,6,3,7,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-45705.89159209214,-36533.853507672095
3,7,132.49579952171598,162.49579952171598,2,13,8,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-27431.068426757913,-17792.514209890447
4,3,127.53128898894055,157.8353442120488,14,8,9,2026-01-24 02:16:42+00:00,2026-01-24 02:16:42,-29026.09189110344,-19289.849249140945
5,1,76.0,109.0,1,3,10,2026-01-24 02:25:28+00:00,2026-01-24 02:25:28,-45582.329317269076,-34979.91967871486
5,2,122.01380732936062,153.28591103984235,29,3,11,2026-01-24 02:25:28+00:00,2026-01-24 02:25:28,-30798.77676165121,-20751.514525351853
6,1,75.0673204735126,105.80219893407961,3,3,12,2026-01-24 02:34:14+00:00,2026-01-24 02:34:14,-45881.98539003611,-36007.325643669195
6,2,117.31780481044845,148.03840966898784,21,3,13,2026-01-24 02:34:14+00:00,2026-01-24 02:34:14,-32307.532591020576,-22437.458740887443
7,1,45.37571694071142,175.1032557615845,7,3,14,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-55421.45640459071,-13741.925859731886
7,2,66.3501697629661,92.0,2,3,15,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-48682.67638137635,-40441.76706827309
7,3,112.37066524683176,143.28719487988096,68,3,16,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-33896.97502109823,-23963.95345224708
8,1,49.91908131256649,178.0,2,3,17,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,-53961.740943753735,-12811.244979919677
8,2,106.29687583701491,140.31067132617275,142,3,18,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,-35848.39330537673,-24920.266240587065
9,3,58.0,96.0,1,3,20,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-51365.46184738955,-39156.6265060241
9,4,100.99320451740077,137.74132874945573,127,3,21,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-37552.384090794934,-25745.757831500167
9,6,249.0,53.020994017308674,5,3,23,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,10000.0,-52965.14248439882
9,10,41.0,105.0,1,13,24,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-56827.30923694779,-36265.06024096385
10,1,96.78190856389254,137.35920628849132,53,3,25,2026-01-24 03:09:20+00:00,2026-01-24 03:09:20,-38905.41090316706,-25868.52810008311
11,2,93.52525383063025,135.3395526534075,7,3,27,2026-01-24 03:18:06+00:00,2026-01-24 03:18:06,-39951.725676905946,-26517.41280211807
11,6,54.0,139.0,1,13,28,2026-01-24 03:18:06+00:00,2026-01-24 03:18:06,-52650.60240963855,-25341.36546184739
12,1,33.0,129.0,1,3,29,2026-01-24 03:26:52+00:00,2026-01-24 03:26:52,-59397.59036144578,-28554.216867469877
12,2,94.0,137.8297290715954,2,3,30,2026-01-24 03:26:52+00:00,2026-01-24 03:26:52,-39799.1967871486,-25717.356121575773
13,1,42.257750042602986,103.73257115221786,10,3,31,2026-01-24 03:35:38+00:00,2026-01-24 03:35:38,-56423.21283771791,-36672.26629647619
13,2,46.0,172.0,1,3,32,2026-01-24 03:35:38+00:00,2026-01-24 03:35:38,-55220.88353413655,-14738.955823293167
13,3,76.0,109.0,1,3,33,2026-01-24 03:35:38+00:00,2026-01-24 03:35:38,-45582.329317269076,-34979.91967871486
13,4,150.53304799571927,68.0,2,3,34,2026-01-24 03:35:38+00:00,2026-01-24 03:35:38,-21635.96851543156,-48152.61044176707
14,1,69.0,118.2082609206336,3,3,35,2026-01-24 03:44:10+00:00,2026-01-24 03:44:10,-47831.32530120482,-32021.442274495224
14,3,79.38068409160667,101.12609876597995,5,3,37,2026-01-24 03:44:10+00:00,2026-01-24 03:44:10,-44496.16575370067,-37509.68714346026
