frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x,cell,time_cell
3,7,132.49579952171598,162.49579952171598,2,13,8,2026-01-24 02:07:56+00:00,2026-01-24 02:07:56,-27431.068426757913,-17792.514209890447,7,0 days 00:00:00
4,3,127.53128898894055,157.8353442120488,14,8,9,2026-01-24 02:16:42+00:00,2026-01-24 02:16:42,-29026.09189110344,-19289.849249140945,7,0 days 00:08:46
5,2,122.01380732936062,153.28591103984235,29,3,11,2026-01-24 02:25:28+00:00,2026-01-24 02:25:28,-30798.77676165121,-20751.514525351853,7,0 days 00:17:32
6,2,117.31780481044845,148.03840966898784,21,3,13,2026-01-24 02:34:14+00:00,2026-01-24 02:34:14,-32307.532591020576,-22437.458740887443,7,0 days 00:26:18
7,3,112.37066524683176,143.28719487988096,68,3,16,2026-01-24 02:43:01+00:00,2026-01-24 02:43:01,-33896.97502109823,-23963.95345224708,7,0 days 00:35:05
8,2,106.29687583701491,140.31067132617275,142,3,18,2026-01-24 02:51:47+00:00,2026-01-24 02:51:47,-35848.39330537673,-24920.266240587065,7,0 days 00:43:51
9,4,100.99320451740077,137.74132874945573,127,3,21,2026-01-24 03:00:34+00:00,2026-01-24 03:00:34,-37552.384090794934,-25745.757831500167,7,0 days 00:52:38
10,1,96.78190856389254,137.35920628849132,53,3,25,2026-01-24 03:09:20+00:00,2026-01-24 03:09:20,-38905.41090316706,-25868.52810008311,7,0 days 01:01:24
11,2,93.52525383063025,135.3395526534075,7,3,27,2026-01-24 03:18:06+00:00,2026-01-24 03:18:06,-39951.725676905946,-26517.41280211807,7,0 days 01:10:10
12,2,94.0,137.8297290715954,2,3,30,2026-01-24 03:26:52+00:00,2026-01-24 03:26:52,-39799.1967871486,-25717.356121575773,7,0 days 01:18:56
