IOP Date,Seeding Start Time (UTC),Drone (EL-###),Closest Sounding Wind Speed (m/s),Closest Sounding Wind Direction (deg from N),Median Drone Wind Speed during seeding  (m/s),Median Drone Wind Direction during seeding (deg from N)
1/22/2026,19:25:33,EL-051,1.49,113.6,6.84,126.2
1/22/2026,20:06:28,EL-051,1.55,108.6,5.66,147.8
1/22/2026,20:43:57,EL-051,0.49,103.7,6.48,140.2
1/22/2026,21:18:22,EL-051,0.51,113.3,4.01,116.3
1/23/2026,00:21:15,EL-051,4.51,22.0,6.29,155.9
1/23/2026,22:16:35,EL-051,4.81,48.4,8.61,73.7
1/23/2026,22:16:44,EL-054,4.09,46.9,7.97,65.9
1/23/2026,22:16:56,EL-038,4.11,46.6,7.55,74.8
1/23/2026,23:32:17,EL-051,5.58,44.1,6.87,105.2
1/23/2026,23:32:56,EL-038,5.25,44.4,7.29,69.0
1/24/2026,00:28:37,EL-051,,,10.17,48.0
1/24/2026,00:28:38,EL-054,,,9.83,30.8
1/24/2026,00:29:24,EL-038,,,9.76,62.4
1/24/2026,01:36:10,EL-038,5.74,40.56,9.94,73.4
1/24/2026,01:36:10,EL-061,6.07,41.25,9.27,96.6
2/18/2026,13:41:08,EL-084,5.88,290.3,9.49,266.2
2/18/2026,13:44:26,EL-084,6.01,291.9,8.89,273.7
2/18/2026,14:10:14,EL-084,8.57,287.0,8.98,262.4
2/18/2026,15:14:32,EL-084,8.94,269.6,9.32,265.1
2/18/2026,15:19:30,EL-084,8.94,269.6,9.35,267.0
2/18/2026,17:09:48,EL-087,8.68,278.4,8.38,217.8
2/20/2026,06:15:06,EL-110,6.75,271.5,7.32,264.7
2/20/2026,06:16:45,EL-087,6.91,272.2,8.59,312.6
2/20/2026,06:20:45,EL-110,6.75,271.5,7.08,286.4
2/20/2026,07:05:32,EL-087,6.29,296.6,9.02,304.8
2/20/2026,07:53:19,EL-110,4.6,287.3,6.67,327.0
2/20/2026,11:23:23,EL-051,8.17,273.3,8.32,222.1
2/20/2026,12:11:25,EL-110,8.43,273.1,14.48,291.0
2/20/2026,12:46:29,EL-110,8.25,273.0,9.79,288.5
2/20/2026,13:12:28,EL-051,7.78,272.3,11.27,248.0
2/20/2026,13:24:30,EL-110,3.6,255.6,5.17,260.0
2/20/2026,13:44:05,EL-051,7.9,250.1,9.18,252.3
2/20/2026,13:56:11,EL-110,7.9,250.1,8.8,256.8
2/20/2026,14:18:25,EL-051,7.99,246.8,8.59,246.4
2/20/2026,14:31:30,EL-110,7.99,244.9,10.11,229.3
2/20/2026,14:57:20,EL-110,7.99,245.7,12.05,244.9
2/20/2026,15:20:13,EL-110,7.91,253.9,8.42,245.1
2/20/2026,15:55:33,EL-110,7.89,239.8,7.97,277.1
2/20/2026,16:29:41,EL-110,10.37,263.7,9.62,213.4
2/20/2026,16:55:46,EL-110,10.13,263.4,11.97,241.4
2/20/2026,18:08:17,EL-110,9.99,263.3,13.26,241.6
2/20/2026,18:13:17,EL-110,9.99,260.8,13.52,230.2
3/6/2026,18:15:21,EL-110,9.48,303.5,12.12,299.2
3/6/2026,18:37:43,EL-110,9.59,308.2,12.54,311.7
3/6/2026,18:59:06,EL-115,7.66,300.7,10.96,309.8
3/6/2026,19:41:59,EL-115,6.54,308.8,11.34,290.2
3/6/2026,19:47:37,EL-115,6.54,308.8,10.95,292.9
3/6/2026,20:48:00,EL-110,7.19,305.5,11.8,299.2
3/7/2026,06:20:11,EL-110,,,17.83,315.8
3/7/2026,07:01:30,EL-094,,,17.22,313.6
3/7/2026,07:39:25,EL-094,,,20.23,354.0
3/7/2026,08:10:29,EL-094,,,19.03,336.3
3/7/2026,08:38:41,EL-094,,,18.21,335.1
3/11/2026,09:03:00,EL-110,18.68,275.6,21.12,282.5
3/11/2026,09:03:00,EL-094,16.2,268.4,16.93,258.0
3/11/2026,09:36:00,EL-110,19.13,275.4,20.89,273.4
3/11/2026,09:36:33,EL-123,15.69,277.3,19.34,272.1
3/11/2026,10:11:00,EL-110,19.12,275.7,21.04,286.4
3/11/2026,11:10:25,EL-123,18.11,273.6,19.0,286.3
3/11/2026,11:59:00,EL-094,18.05,271.8,18.85,286.0
3/11/2026,16:10:00,EL-094,22.84,272.6,24.38,277.8
3/25/2026,23:39:00,EL-102,17.59,246.8,14.29,256.5
3/26/2026,00:08:59,EL-102,,,16.34,262.6
3/26/2026,01:57:23,EL-102,,,14.76,253.0
3/26/2026,01:57:23,EL-124,,,15.29,265.0
3/26/2026,02:28:47,EL-102,,,18.84,244.7
3/26/2026,02:28:47,EL-124,,,17.07,242.7
3/26/2026,02:52:30,EL-102,,,17.43,242.3
3/26/2026,02:52:30,EL-095,,,19.01,262.3
3/26/2026,04:05:19,EL-124,,,18.86,231.6
3/26/2026,04:05:19,EL-095,,,19.23,256.1
3/26/2026,04:33:50,EL-124,,,15.32,267.2
3/26/2026,04:33:50,EL-095,,,16.64,247.2
3/26/2026,05:31:13,EL-124,,,18.35,241.8
3/26/2026,05:31:13,EL-095,,,16.74,263.2
3/26/2026,05:57:10,EL-124,,,18.07,288.9
3/26/2026,05:57:10,EL-095,,,19.03,249.3
3/26/2026,06:43:23,EL-095,,,19.7,290.0
3/26/2026,07:06:11,EL-095,,,20.14,268.0
4/2/2026,15:15:22,EL-102,13.73,267.2,14.39,238.0
4/2/2026,16:03:56,EL-102,10.13,277.1,11.52,281.6
4/2/2026,16:46:28,EL-124,11.21,262.4,13.43,241.3
4/2/2026,17:12:10,EL-124,10.67,300.4,13.45,290.1
4/2/2026,17:32:14,EL-124,9.92,281.4,11.92,236.6
4/2/2026,17:59:58,EL-124,9.92,281.8,12.53,269.5
4/2/2026,18:23:13,EL-124,11.7,270.6,12.94,286.1
4/2/2026,19:07:17,EL-124,9.92,281.8,10.92,269.7
4/2/2026,20:40:57,EL-124,12.05,308.7,10.09,310.7
4/2/2026,21:09:09,EL-124,11.69,311.9,18.01,294.2
4/2/2026,21:36:20,EL-124,12.73,315.8,15.11,304.2
4/3/2026,01:10:44,EL-124,,,12.53,323.7
4/3/2026,01:36:00,EL-124,,,,
4/3/2026,02:39:40,EL-124,,,,
4/3/2026,03:05:01,EL-124,,,,
4/3/2026,03:28:06,EL-124,,,,
4/3/2026,04:10:54,EL-124,,,,
4/3/2026,04:39:37,EL-124,,,11.95,311.3
4/3/2026,05:06:03,EL-124,,,11.33,295.5
4/3/2026,05:27:18,EL-124,,,11.58,293.8
4/3/2026,05:53:44,EL-124,,,9.84,301.1
4/3/2026,06:15:06,EL-124,,,9.09,295.2
4/3/2026,06:42:16,EL-124,,,10.67,272.4
4/3/2026,07:04:09,EL-124,,,10.12,283.2
4/3/2026,07:30:02,EL-124,,,10.01,297.8
4/15/2026,02:35:38,EL-123,17.15,252.8,15.25,255.0
4/15/2026,04:10:27,EL-123,22.05,264.6,20.18,265.0
4/15/2026,05:24:20,EL-123,21.87,261.6,16.48,277.5
4/15/2026,06:58:59,EL-124,18.53,245.9,18.42,257.8
,,,,,,
,,,,,,
,NEEDS REVIEW,,,,,
